wheel station sector sw_phiz sw_phiz1 sw_phiz2 sw_phiz3 sw_dphiz1 sw_dphiz2 sw_dphiz3 sw_db
1 4 10 -0.92285 -0.85879 -0.92285 -1.05406 0.06406 0.00000 -0.13121 0.19527
2 2 2 0.36703 0.45269 0.64254 0.33497 0.08567 0.27551 -0.03206 0.11773
0 2 9 0.00730 0.02137 0.43968 -0.03866 0.01406 0.43238 -0.04596 0.06003
0 3 4 0.42831 0.41378 0.21812 0.46552 -0.01453 -0.21019 0.03721 -0.05174
-2 3 9 0.05085 0.03270 -0.20424 0.04356 -0.01815 -0.25509 -0.00729 -0.01086
1 1 3 0.78339 0.78439 0.55149 0.85510 0.00100 -0.23190 0.07171 -0.07071
1 4 8 -0.52650 -0.53607 -0.52650 -0.63198 -0.00957 0.00000 -0.10548 0.09591
-1 1 2 0.03153 0.02514 0.51936 0.13266 -0.00639 0.48783 0.10113 -0.10751
0 2 11 0.46544 0.52628 0.51080 0.36298 0.06085 0.04536 -0.10246 0.16331
0 4 12 -0.30834 -0.33498 -0.30834 -0.23045 -0.02664 0.00000 0.07789 -0.10453
2 3 3 0.57037 0.55509 -0.32779 0.56471 -0.01528 -0.89816 -0.00566 -0.00962
1 1 5 0.60123 0.62387 0.73619 0.64484 0.02264 0.13496 0.04361 -0.02097
2 1 1 1.06120 1.03908 3.38112 1.10961 -0.02212 2.31992 0.04841 -0.07054
1 4 6 -0.90773 -0.92953 -0.90773 -0.97986 -0.02180 0.00000 -0.07212 0.05032
2 2 6 -0.45628 -0.53011 -1.34925 -0.38352 -0.07383 -0.89298 0.07276 -0.14659

