wheel station sector hw_phiz hw_phiz1 hw_phiz2 hw_phiz3 hw_dphiz1 hw_dphiz2 hw_dphiz3 hw_db
-2 4 10 0.12881 0.12881 0.12881 0.08214 0.00000 0.00000 -0.04667 0.04667
0 1 5 0.15473 0.15473 0.20345 0.19695 0.00000 0.22456 0.04222 -0.04222
2 1 10 0.02798 0.02798 0.11697 0.10520 0.00000 0.15559 0.07722 -0.07722
1 1 2 -0.41751 -0.41751 -0.32781 -0.41144 0.00000 -0.32477 0.00607 -0.00607
1 1 9 0.25798 0.25798 0.34487 0.39079 0.00000 0.41128 0.13282 -0.13282
-1 4 10 0.74740 0.74740 0.74740 0.66762 0.00000 0.00000 -0.07979 0.07979
2 4 3 0.86628 0.86628 0.86628 0.88200 0.00000 0.00000 0.01572 -0.01572
2 2 10 -0.10600 -0.10600 0.00401 -0.17070 0.00000 -0.02834 -0.06470 0.06470
-1 4 6 -0.90947 -0.90947 -0.90947 -0.85248 -0.00000 0.00000 0.05699 -0.05699
0 3 12 0.39024 0.39024 0.28242 0.43256 0.00000 0.30358 0.04232 -0.04232
1 2 1 0.35057 0.35057 1.27881 0.21677 0.00000 1.21190 -0.13380 0.13380
1 3 12 0.20865 0.20865 0.16989 0.25764 0.00000 0.19438 0.04898 -0.04898
1 1 11 0.02110 0.02110 0.13475 0.16432 0.00000 0.20636 0.14322 -0.14322
-1 2 5 0.88221 0.88221 0.79417 0.92427 0.00000 0.81520 0.04206 -0.04206
-2 1 12 0.05342 0.05342 0.03460 0.10209 0.00000 0.05893 0.04867 -0.04867
2 4 5 -0.20827 -0.20827 -0.20827 -0.22131 0.00000 0.00000 -0.01304 0.01304
2 2 8 0.04965 0.04965 0.02380 -0.05194 0.00000 -0.02699 -0.10159 0.10159
0 3 2 1.28560 1.28560 1.20250 1.27876 0.00000 1.19908 -0.00684 0.00684
-1 1 9 0.14150 0.14150 0.13238 0.03399 0.00000 0.07862 -0.10751 0.10751
-2 3 8 -0.15191 -0.15191 -0.27254 -0.18449 0.00000 -0.28882 -0.03258 0.03258
1 4 14 -1.00893 -1.00893 -1.00893 -1.02699 0.00000 0.00000 -0.01805 0.01805
-2 2 7 -0.27646 -0.27646 0.04134 -0.53051 0.00000 -0.08569 -0.25406 0.25406
2 4 7 0.68783 0.68783 0.68783 0.68698 0.00000 0.00000 -0.00085 0.00085
2 1 4 0.63520 0.63520 0.73148 0.74245 0.00000 0.78511 0.10725 -0.10725
1 3 8 0.04760 0.04760 -0.04909 0.11640 0.00000 -0.01470 0.06879 -0.06879
1 4 12 -0.52986 -0.52986 -0.52986 -0.57521 0.00000 0.00000 -0.04535 0.04535
2 2 12 0.27685 0.27685 0.32961 0.22850 0.00000 0.30544 -0.04834 0.04834
-1 4 1 0.38994 0.38994 0.38994 0.53360 0.00000 0.00000 0.14366 -0.14366
0 3 6 -0.10641 -0.10641 -0.26571 -0.20878 0.00000 -0.31690 -0.10237 0.10237
1 2 2 0.84474 0.84474 0.82028 0.70167 0.00000 0.74874 -0.14306 0.14306
2 3 2 0.77766 0.77766 0.80662 0.86937 0.00000 0.85248 0.09172 -0.09172
1 1 1 1.04019 1.04019 1.06321 1.05884 0.00000 1.07254 0.01865 -0.01865
-1 2 4 0.13339 0.13339 0.59036 0.11588 0.00000 0.58161 -0.01750 0.01750
1 4 10 -0.92285 -0.92285 -0.92285 -0.96559 0.00000 0.00000 -0.04274 0.04274
2 2 2 0.36703 0.36703 0.48194 0.42144 0.00000 0.50914 0.05441 -0.05441
0 2 9 0.00730 0.00730 0.59599 -0.02446 0.00000 0.58011 -0.03177 0.03177
0 3 4 0.42831 0.42831 0.36428 0.44558 0.00000 0.37291 0.01727 -0.01727
-2 3 9 0.05085 0.05085 -0.08633 0.01867 0.00000 -0.10242 -0.03218 0.03218
1 1 3 0.78339 0.78339 0.82144 0.85612 0.00000 0.85781 0.07273 -0.07273
1 4 8 -0.52650 -0.52650 -0.52650 -0.64520 0.00000 0.00000 -0.11870 0.11870
-1 1 2 0.03153 0.03153 0.15465 0.12617 0.00000 0.20197 0.09464 -0.09464
0 2 11 0.46544 0.46544 0.54360 0.42439 0.00000 0.52308 -0.04104 0.04104
0 4 12 -0.30834 -0.30834 -0.30834 -0.26724 0.00000 0.00000 0.04110 -0.04110
2 3 3 0.57037 0.57037 0.46214 0.54375 0.00000 0.44883 -0.02662 0.02662
1 1 5 0.60123 0.60123 0.71868 0.66784 0.00000 0.75199 0.06661 -0.06661
2 1 1 1.06120 1.06120 1.16496 1.08713 0.00000 1.17792 0.02593 -0.02593
1 4 6 -0.90773 -0.90773 -0.90773 -1.00996 0.00000 0.00000 -0.10223 0.10223
2 2 6 -0.45628 -0.45628 -0.26540 -0.45804 0.00000 -0.26628 -0.00176 0.00176

