wheel station sector sw_phiz sw_phiz1 sw_phiz2 sw_phiz3 sw_dphiz1 sw_dphiz2 sw_dphiz3 sw_db
1 3 12 0.20865 0.22920 0.16989 0.22945 0.02055 -0.03876 0.02080 -0.00025
1 1 11 0.02110 0.03575 0.13475 0.14943 0.01465 0.11365 0.12833 -0.11368
-1 2 5 0.88221 0.79777 0.79417 1.00950 -0.08444 -0.08804 0.12729 -0.21173
-2 1 12 0.05342 0.06355 0.03460 0.09181 0.01012 -0.01883 0.03839 -0.02826
2 4 5 -0.20827 -0.20035 -0.20827 -0.23226 0.00793 0.00000 -0.02398 0.03191
2 2 8 0.04965 -0.01908 0.02380 0.01743 -0.06873 -0.02584 -0.03221 -0.03652
0 3 2 1.28560 1.27715 1.20250 1.29036 -0.00845 -0.08310 0.00476 -0.01321
-1 1 9 0.14150 0.10762 0.13238 0.06842 -0.03388 -0.00912 -0.07308 0.03919
-2 3 8 -0.15191 -0.13319 -0.27254 -0.21017 0.01872 -0.12062 -0.05826 0.07698
1 4 14 -1.00893 -1.06254 -1.00893 -0.95296 -0.05361 0.00000 0.05597 -0.10958
-2 2 7 -0.27646 -0.33598 0.04134 -0.47043 -0.05953 0.31780 -0.19397 0.13444
2 4 7 0.68783 0.70702 0.68783 0.66048 0.01919 0.00000 -0.02735 0.04654
2 1 4 0.63520 0.63975 0.73148 0.73783 0.00455 0.09628 0.10262 -0.09808
1 3 8 0.04760 0.07554 -0.04909 0.07808 0.02793 -0.09669 0.03047 -0.00254
1 4 12 -0.52986 -0.55315 -0.52986 -0.54305 -0.02329 0.00000 -0.01319 -0.01009
2 2 12 0.27685 0.19594 0.32961 0.31017 -0.08090 0.05277 0.03332 -0.11422
-1 4 1 0.38994 0.39007 0.38994 0.53342 0.00013 0.00000 0.14348 -0.14335
0 3 6 -0.10641 -0.11993 -0.26571 -0.19022 -0.01353 -0.15930 -0.08381 0.07029
1 2 2 0.84474 0.87264 0.82028 0.67351 0.02790 -0.02446 -0.17123 0.19913
2 3 2 0.77766 0.76795 0.80662 0.88268 -0.00970 0.02896 0.10503 -0.11473
1 1 1 1.04019 1.02464 1.06321 1.07464 -0.01555 0.02302 0.03445 -0.05000
-1 2 4 0.13339 0.12890 0.59036 0.12041 -0.00448 0.45697 -0.01298 0.00849
1 4 10 -0.92285 -0.85879 -0.92285 -1.05406 0.06406 0.00000 -0.13121 0.19527
2 2 2 0.36703 0.45269 0.48194 0.33497 0.08567 0.11491 -0.03206 0.11773
0 2 9 0.00730 0.02137 0.59599 -0.03866 0.01406 0.58868 -0.04596 0.06003
0 3 4 0.42831 0.41378 0.36428 0.46552 -0.01453 -0.06404 0.03721 -0.05174
-2 3 9 0.05085 0.03270 -0.08633 0.04356 -0.01815 -0.13718 -0.00729 -0.01086
1 1 3 0.78339 0.78439 0.82144 0.85510 0.00100 0.03805 0.07171 -0.07071
1 4 8 -0.52650 -0.53607 -0.52650 -0.63198 -0.00957 0.00000 -0.10548 0.09591
-1 1 2 0.03153 0.02514 0.15465 0.13266 -0.00639 0.12312 0.10113 -0.10751
0 2 11 0.46544 0.52628 0.54360 0.36298 0.06085 0.07817 -0.10246 0.16331
0 4 12 -0.30834 -0.33498 -0.30834 -0.23045 -0.02664 0.00000 0.07789 -0.10453
2 3 3 0.57037 0.55509 0.46214 0.56471 -0.01528 -0.10823 -0.00566 -0.00962
1 1 5 0.60123 0.62387 0.71868 0.64484 0.02264 0.11745 0.04361 -0.02097
2 1 1 1.06120 1.03908 1.16496 1.10961 -0.02212 0.10376 0.04841 -0.07054
1 4 6 -0.90773 -0.92953 -0.90773 -0.97986 -0.02180 0.00000 -0.07212 0.05032
2 2 6 -0.45628 -0.53011 -0.26540 -0.38352 -0.07383 0.19088 0.07276 -0.14659

